,2015.11,2015.12,2016.01,2016.02,2016.03,2016.04,平均利率
top20,0.0,0.0,0.0,0.0,0.0,0.0,10.714285714285714
top50,0.0,0.0,0.0,0.0,0.0,0.0,10.987908496732024
top100,0.0,0.0,0.0,0.0,0.0,0.0,11.415038778877888
top200,0.0,0.5,0.0,0.0,0.0,0.0,12.642686013763893
top500,0.4,1.0,1.0,0.0,0.6,0.2,13.588543254933933
top1000,0.5,2.1,2.1,1.2,2.1999999999999997,1.0,14.145427799482833
全部,2.708124373119358,4.845360824742269,4.387865655471289,4.079320113314448,4.311872415829888,1.5432098765432098,14.50778690307718
