deve_score,name
0.8897386617064476,兴业易贷
0.6053457614779473,鑫阳创投
0.4232862055301666,万民投资
0.4059709510207176,神州易贷
0.38982575923204416,华鑫恒生
0.3834952446073293,微小宝
0.3799638796439103,闽昌贷
0.377128589451313,安宜贷
0.37173767387866974,鲁信宜贷
0.36196114623940956,美冠信投
0.35991346622700804,渝商创投
0.3530622079828754,友禾创投
0.3480152020603419,宜企贷
0.33464799877256163,良渚财富
0.3345465713739395,浙联储
0.3341240872442722,昊天财富
0.33133683264255526,品胜财富
0.33027673959732057,华南城贷
0.32955406049732117,上咸BANK
0.32887961063534027,苏丰创投
0.32883701395906967,轻纺城金融
0.3279862413154624,诚意贷
0.3271645616680442,莱商贷
0.32598623036341456,民生创投
0.3251641345024109,力川金融
0.32453461542725565,益元贷
0.3227314613759517,陆鑫所
0.3203908042395887,鲁商贷
0.3199306755699217,帮客网
0.31658796161413194,金陵贷
0.3154245836287737,富二贷
0.3149100403205375,幸福贷
0.3121691579371691,邦诚金融
0.3111815998703242,华辰易贷
0.3016740347445011,点滴聚财
0.29856325268149375,聚金汇财
0.2983237937092781,春鹏易贷
0.29818956077098846,成功贷
0.29818655918352305,众和贷
0.29670783564448355,家家聚财
0.2902531138062477,财富在线
0.2894348598003853,中大财富
0.2893580731004477,百利财富
0.28759464249014854,世纪创想
0.2849645829200745,盛信金融
0.2848423743247986,众筹投资
0.2840357065200806,合泽财富
0.2834638997912407,宝利金融
0.2824711615019478,量子贷
0.2820269930362701,万城汇丰
0.2785511870164191,凤凰金融
0.27832255253568294,国湘资本
0.276088416697178,中汇在线
0.2751688580028713,天天聚财
0.2750508594512939,淘金城
0.27276651977375155,力安创投
0.2711287824809551,钱江理财
0.268767948448658,诺辰财富
0.2686075955629349,懒人财富
0.2679950015225841,丰达财富
0.26726823538541794,睿银财富
0.2654701355099678,福润融通
0.2651649624109268,百凯祺投资
0.2613096367567777,天天融
0.25967144485097376,和诚德在线
0.25659524112939835,融生在线
0.2552292007505894,鸿诚贷
0.2530086709856987,利安贷
0.25190990264725405,年享财富
0.2512286561569199,鼎玉财富
0.24998372197151184,三惠富邦
0.24898040145635605,融亿通
0.24837544091045857,华融众信
0.24799400155537296,甬商贷
0.24766839981079103,十鼎贷
0.2466462703049183,网汇贷
0.2439737846143544,好借好贷
0.2430200327038765,汇富创投
0.24129910421559422,快速贷
0.2412761980891228,爱上贷
0.2411887754397467,稳通金融
0.23997167101479136,齐鲁人贷
0.23989374109155545,山水聚宝
0.23936342708766462,兴旺财富
0.23903234917670485,黑火金融
0.23888712748885155,21世纪财富
0.23849978976223643,起点贷
0.2378001166507602,天勤在线
0.23767667211592194,丰储宝
0.2369543083012104,永银贷
0.23541358321905131,瑞涛财富
0.2348259910941124,中盈贷
0.23450334280729299,天脉投资
0.2342255379259586,携行天下
0.23389975398644341,龙城易贷
0.23381681554613165,汇聚贷
0.23309528072575322,my标客
0.2326335713267326,盈信贷
0.23209563083946705,信财贷
0.23189432680606842,银钱树
0.23158137917518615,吉强贷
0.2313734251856804,安贷宝
0.22877274442790077,蜀易贷
0.2282226247624494,车易贷
0.2263449728488922,助商贷
0.2258738595992327,昌泰网
0.2249991803132559,点点贷
0.2248771134763956,速贷100
0.22399997891785436,宏信创投
0.2239883816317888,友友贷
0.22364280742779372,汇丰创投
0.22165760815143584,余易贷
0.22138704478740692,大佳创投
0.2209999999993971,拍拍贷
0.22090805135667324,中续投资
0.22052502930164336,亿人易贷
0.22019988298416135,柘家贷
0.2199451215617592,广融在线
0.2198985337483464,e融在线
0.21890377216041088,世纪贷
0.21819386631250381,冰融贷
0.21803066199645404,黄鹤金服
0.2159508543892298,瑞贷通
0.21588898957567293,广亿贷
0.2155308973789215,腾滕聚
0.21549328029155732,汉泰华泽
0.21545629635080693,地方金融
0.21473544439673428,鼎融资本
0.21466017996892334,彩讯贷
0.2144949395209551,梧桐E贷
0.2144367291778326,阜阳金融网
0.21430892966687679,融促汇
0.2140240376740694,润通贷
0.21389647372138446,自由金服
0.21340414845943453,一元投资
0.21221232675015927,巴菲贷
0.21141531917452813,乐投资
0.2111791902780533,阳光快贷
0.21059320611258156,智融财富
0.21043714402019975,恒信易贷
0.20998242069494158,好优贷
0.20993190918175972,广西东盟贷
0.2094028454720974,惠富天下
0.20909217936918142,贷乐网
0.2088985848426819,多多贷
0.20887384951044805,微E贷
0.20885979370214044,亨多财富
0.2069999893736351,草根新贷
0.20609999970095014,热贷网
0.20606222913265226,中浩信投
0.20557814463973045,大时贷
0.20549978395923973,宏东资本
0.20481622332707045,本利宝
0.20449609994888307,金马财富
0.20399906131538412,融易贷（粤）
0.20364638417959213,创亿财富
0.2029956531097632,微金互助
