label,name,score
0,诚汇通,0.9821589955997534
0,财大狮,0.9815993956410317
0,快快贷,0.9815682360608118
0,信客网,0.9814024909596399
0,益投网贷,0.9813976400372498
0,车易贷,0.9813490546468031
0,58财福,0.981207719315712
0,汇投网,0.9811966817117354
0,金钥匙网贷,0.9811302052708406
0,中益信金融,0.9807943930736659
0,立业贷,0.9807570113900524
0,乐投资,0.9805292232012821
0,大同行,0.980467554261679
0,玖富理财,0.9804068338773017
0,众信易贷,0.9803578090915321
0,京城贷,0.9803490384211263
1,国控小微,0.9803167678195843
0,皖都金融,0.9800872500959148
1,克克贷,0.9800824761975818
0,壹心贷,0.980043301648152
0,创世介贷,0.9800256401211874
0,资本在线,0.9799833724919391
0,万家兄弟,0.9797648342289197
0,融信网,0.9797540605904689
0,厦信贷,0.9796738468418527
1,众人贷,0.9795624809156522
1,速可贷,0.9793868295702933
1,好借好还,0.9781073805614484
1,融亿通,0.9666792219877666
0,小鹅网,0.9657818510420374
0,壹理财,0.9651734914257438
1,商易贷,0.9639715279283976
0,沃信财富,0.963739422808127
0,金马财富,0.9635822511346817
0,E借通,0.9632572926852522
1,友禾创投,0.9632247200801634
1,美冠信投,0.9630698620003171
0,点点理财,0.962769433564753
0,世纪贷,0.9626278301626687
0,乐居财富,0.9625356666485608
0,好又贷,0.9624538879899076
1,鑫阳创投,0.9621345778902436
1,自由金服,0.9620721763274843
0,鸿森财富,0.9619144898575268
1,莱商贷,0.9617794818532421
1,鲁商贷,0.9617418243380249
0,多贷贷,0.9615457334321715
0,百融网,0.9615189266341516
0,睿信财富,0.9611945025621492
0,量子金融,0.9611045469169136
0,酷融贷,0.9609302965026807
0,亿信天合,0.9605598522518157
0,安捷财富,0.9604269354926509
0,网银贷,0.9602875346681756
0,心意贷,0.9600551054608225
1,国湘资本,0.959986481763946
0,易众网,0.9599480113758035
0,艺融网,0.9598231222898347
0,优聚投,0.9595894823514765
0,银畅金融,0.9594538867853002
0,信诚贷,0.9592912012366519
0,懒猪理财,0.9592850073478325
0,安星财富网,0.9592847213101859
0,小微易贷,0.9592464338812695
1,天天聚财,0.959222063253077
0,民贷网,0.9591496910761604
0,众易贷,0.9590744444220333
1,宜佳财富,0.9590616478822653
0,大时贷,0.959012368092477
0,祺天优贷,0.9589411041605206
1,铭胜投资,0.9589121345756143
0,睿信贷,0.9588597200508342
0,微金在线,0.9587263539319759
0,满满贷,0.9587161052924582
0,甬商贷,0.958675222191108
1,优信贷,0.9586339433655028
1,中大财富,0.9586182582866618
1,15贷,0.9586059306247199
0,放心e贷,0.9586002482966439
0,可信贷,0.9584315857470684
0,理财团,0.9583960130988631
0,创益100,0.9582088900445167
1,美贷网,0.9581906181525796
0,易友贷,0.958132685527509
0,龙城易贷,0.9581190564275344
0,稳通金融,0.9580531892291937
0,钱途在线,0.9580135760056325
1,用心贷,0.9580096343876174
1,万通财富,0.957941037331006
1,鼎融资本,0.9576302507483264
1,芝麻金融,0.957345939878078
0,顺顺贷,0.9571040613670144
1,畅贷网,0.9570899697066582
0,易多财富,0.9566691159226595
0,云贷网,0.9565972434330947
0,信德过,0.9565517795054247
0,超爱财,0.9565203869602358
0,756金融网,0.9565148797302437
1,坤一金融,0.9564576723283719
0,融众财富,0.9564250134713147
1,友友贷,0.956356351876603
0,旺宝财富,0.9563146210119662
