label,name,score
0,人人贷,0.9999999752842214
0,宜人贷,0.999999791926672
0,积木盒子,0.9999997196212103
0,陆金所,0.9999996011311094
0,微贷网,0.9999995634823243
0,爱钱进,0.9999993705835195
0,开鑫贷,0.9999993475383487
0,你我贷,0.9999990026797397
0,银豆网,0.9999988837981502
0,团贷网,0.9999981633080518
0,有利网,0.9999977600196349
0,和信贷,0.9999974427300312
0,易贷网,0.9999970470445543
0,91旺财,0.999996886699683
0,金开贷,0.9999968127528076
0,财加,0.9999966610333985
0,点融网,0.9999966421088372
0,银湖网,0.9999966148086459
0,银客网,0.999996523837075
0,向上金服,0.9999964513549093
0,礼德财富,0.9999962593196973
0,投哪网,0.9999960304623127
0,永利宝,0.9999951477516821
0,温商贷,0.999995101376605
0,e路同心,0.9999943612155473
0,合时代,0.9999942030128994
0,铜掌柜,0.9999940364669572
0,后河财富,0.9999936955645097
0,九信金融,0.999993055849623
0,信融财富,0.9999929951047623
0,金信网,0.9999929446600629
0,翼龙贷,0.9999924886971431
0,鑫合汇,0.9999923794566222
0,汇盈金服,0.999992357603848
0,温州贷,0.9999920471401132
0,楚金所,0.9999914980550522
0,付融宝,0.9999910402902502
0,珠宝贷,0.9999908332146974
0,钱吧,0.9999897406356449
0,金联储,0.9999889042186092
0,九斗鱼,0.9999886111364922
0,友金所,0.9999885655064835
0,金融工场,0.9999885582272272
0,德众金融,0.9999878313811559
0,小油菜,0.9999875088358551
0,阿朋贷,0.9999863564591586
0,鹏金所,0.9999861143355147
0,生菜金融,0.9999858190510613
0,惠众金融,0.9999856976816178
0,爱投资,0.9999853978105151
0,红岭创投,0.9999841557960256
0,安心贷,0.9999837106559359
0,e微贷,0.9999825648480403
0,中瑞财富,0.9999807454689684
0,抱财网,0.9999801493670416
0,短融网,0.9999778763346527
0,融资易,0.9999751410807037
0,合拍在线,0.9999731974606827
0,邦帮堂,0.9999724342474643
0,网利宝,0.9999706638830174
0,果树财富,0.9999678241838333
0,链家理财,0.9999677654106955
0,广州e贷,0.999967455716593
0,麻袋理财,0.9999641544278838
0,理想宝,0.999963851321696
0,拍拍贷,0.9999585703872982
0,国诚金融,0.9999566770771114
0,人人聚财,0.9999557797919906
0,口贷网,0.9999533199432146
0,银票网,0.9999523059031711
0,PPmoney万惠,0.9999519168179462
0,融贝网,0.9999496198825648
0,合力贷,0.9999418006560341
0,美利金融,0.9999370528240389
0,玖融网,0.9999369678963278
0,贷贷兴隆,0.9999304428291899
0,民贷天下,0.9999251414149956
0,黄河金融,0.999922365555994
0,大麦理财,0.9999205665033714
0,新联在线,0.9999201229009551
0,e速贷,0.9999172964930372
0,粤商贷,0.9999068276589331
0,小赢理财,0.9998914341008833
0,恒信易贷,0.9998887146470439
0,诺诺镑客,0.9998835646943074
0,石投金融,0.999882528567982
0,喜投网,0.9998823180347239
0,众信金融(京),0.9998798204406617
0,信用宝,0.9998793028266677
0,金宝保,0.9998653135938197
0,拓道金服,0.9998621189565261
0,金银猫,0.9998503259189389
0,今日捷财,0.9998302128072136
0,新新贷,0.9998152402699892
0,汇通易贷,0.9997110807872338
0,365易贷,0.9997031531608601
0,博金贷,0.9994329814269606
0,房金所,0.9988157944521238
0,金控网贷,0.998600222740711
0,万盈金融,0.9977301162842372
0,51信托,0.9929600821682748
0,住永金融,0.99286945992397
0,乐金所,0.9920529520976994
0,财神驾到,0.9913644402876514
1,坤一金融,0.9889214294339724
0,冀贷通,0.9888473586680606
0,车富88,0.9886182143397202
0,向右转,0.9853742883930933
0,国惠金融,0.985358922697757
0,小鹅网,0.9851919036779138
0,壹理财,0.9851068350881621
0,学信贷,0.9839307531550191
0,盛世开元,0.9839131007148739
0,酷融贷,0.9836964088087771
0,冀鑫财富,0.9833446405362851
0,银点财富,0.983309264029604
0,奔宝贷,0.9830309811401607
0,艺点理财,0.9823722454547371
0,蜗牛客,0.9821223053512215
0,监保贷,0.9814017620236406
0,银魅财富,0.9812587430529314
0,金牌理财,0.9808563738509211
0,E借通,0.9806028133019067
0,金钥匙钱道,0.9805036080535133
0,e兴金融,0.9802613269446419
0,福汇财富,0.9796684449161724
0,乐居财富,0.9794240104458495
0,1818优本财富,0.979316126305947
0,大地金融,0.9792011668317266
0,巨涟金融,0.9791034616798229
0,58财福,0.9790759846866578
0,创益100,0.9789031009092236
0,力帆善融,0.9787843351956839
0,利往行,0.9783607113240634
0,连盈贷,0.9782638238735032
1,用心贷,0.9778294219457228
0,融租E投,0.9772957740759499
0,点金融,0.9772702450445123
0,袋鼠妈妈,0.9770991912435355
0,中网国投,0.9770740979000717
0,华汇财富,0.9769440165108118
0,银巴克,0.9769083479234653
1,钱窝窝,0.976878450691162
0,久融金融,0.9768461505507414
0,麦麦提,0.97668362033899
0,多贷贷,0.9766122099896593
0,爱财在线,0.9765775929438021
0,懒投资,0.9765228506474715
0,龙商e贷,0.9760352432886966
0,迅捷贷,0.9759602207215122
0,中业兴融,0.9755040453257485
1,大众金融,0.9753123760422328
0,百融网,0.9749744058439191
0,中富国帮,0.9747793934675811
0,沃信财富,0.9745273427871057
0,放心贷,0.9742169432157478
0,金砖联合,0.9740643052021942
0,金砖普惠,0.9740463013043767
0,汇投网,0.9740060610501952
0,众易贷,0.9738100891075143
0,酷宝盒,0.9736429038830143
0,欧拉宝,0.9732582123378293
0,睿信财富,0.9732505217494848
1,A资本,0.9731291780485691
0,联保投资网,0.9729655056687777
0,财富观,0.9724183293175231
0,理财乐,0.9723894577198108
0,金易融,0.9723372062541992
0,优聚投,0.9723093052395477
